[2026-07-07T10:59:54.006Z] GET https://vk.com/aframe_iv → 200 (414ms, 56058B)
[2026-07-07T10:59:54.465Z] GET https://st1-22.vk.com/dist/projects/vk-web/chunks/js/2860.710648e8.js → pending (?ms, ?B)
[2026-07-07T10:59:54.465Z] GET https://st1-22.vk.com/dist/projects/vk-web/chunks/js/55352.19612c1d.js → pending (?ms, ?B)
[2026-07-07T10:59:54.465Z] GET https://st1-22.vk.com/dist/projects/vk-web/chunks/js/81916.8f52c650.js → pending (?ms, ?B)
[2026-07-07T10:59:54.465Z] GET https://st1-22.vk.com/dist/projects/vk-web/chunks/js/42231.0d497dd1.js → pending (?ms, ?B)
[2026-07-07T10:59:54.465Z] GET https://st1-22.vk.com/dist/projects/vk-web/chunks/js/pageCommunityPage.f72f7d99.js → pending (?ms, ?B)
[2026-07-07T10:59:54.465Z] GET https://vk.com/js/langs/pageCommunityPage.b2587c805fcce58e.js → 200 (31ms, 989B)
[2026-07-07T10:59:54.711Z] POST https://sdk-api.apptracer.ru/api/crash/trackSession?crashToken=B5d6H7nKgmqPMHnLp5DE9pSWT6tlYEDmDtAU2Uo9ipa&sdkVersion=2.6.9 → 200 (611ms, 417B)
[2026-07-07T10:59:55.244Z] GET https://st1-22.vk.com/dist/projects/vk-web/chunks/js/91437.817c182c.js → 200 (78ms, 5985B)
[2026-07-07T10:59:55.244Z] GET https://st1-22.vk.com/dist/projects/vk-web/chunks/js/42609.943c75a6.js → 200 (78ms, 2195B)
[2026-07-07T10:59:55.244Z] GET https://st1-22.vk.com/dist/projects/vk-web/chunks/js/9636.3dd38558.js → 200 (79ms, 3022B)
[2026-07-07T10:59:55.245Z] GET https://st1-22.vk.com/dist/projects/vk-web/chunks/js/96109.efc5c2f6.js → 200 (79ms, 27122B)
[2026-07-07T10:59:55.245Z] GET https://st1-22.vk.com/dist/projects/vk-web/chunks/css/audioplayer-async-chunk.7b67816d.css → 200 (4ms, 629B)
[2026-07-07T10:59:55.245Z] GET https://st1-22.vk.com/dist/projects/vk-web/chunks/js/audioplayer-async-chunk.4fdc79c4.js → 200 (78ms, 7003B)
[2026-07-07T10:59:55.245Z] GET https://vk.com/js/langs/vk-web/audioplayer-async-chunk.b1512afcc2b0129c.js?v=1&l=0 → 200 (79ms, 2958B)
[2026-07-07T10:59:55.246Z] GET https://vk.com/js/langs/entry/web/ui_common.f7c7a0cfba5b12c9.js?v=1&p=web&l=0 → 200 (79ms, 6474B)
[2026-07-07T10:59:55.246Z] GET https://vk.com/al_loader_part_configs.php?act=load_legacy → 200 (83ms, 12085B)
[2026-07-07T10:59:55.246Z] GET https://vk.com/js/langs/entry/web/notifier.18634c1a0c8e8122.js?v=1&p=web&l=0 → 200 (256ms, 12746B)
[2026-07-07T10:59:55.246Z] GET https://vk.com/js/langs/entry/web/likes.375e33589f517781.js?v=1&p=web&l=0 → 200 (83ms, 6562B)
[2026-07-07T10:59:55.246Z] GET https://st1-22.vk.com/dist/projects/vk-web/chunks/js/76599.e124c201.js → 200 (78ms, 2536B)
[2026-07-07T10:59:55.246Z] GET https://st1-22.vk.com/dist/projects/vk-web/chunks/css/search_top_anonymous.f15ae134.css → 200 (3ms, 714B)
[2026-07-07T10:59:55.246Z] GET https://st1-22.vk.com/dist/projects/vk-web/chunks/js/search_top_anonymous.8767ced0.js → 200 (79ms, 579B)
[2026-07-07T10:59:55.246Z] GET https://vk.com/js/langs/vk-web/search_top_anonymous.de332aa82f613899.js?v=1&l=0 → 200 (81ms, 1091B)
[2026-07-07T10:59:55.246Z] GET https://st1-22.vk.com/dist/projects/vk-web/chunks/js/27582.ac8888e2.js → 200 (80ms, 4601B)
[2026-07-07T10:59:55.247Z] GET https://st1-22.vk.com/dist/projects/vk-web/chunks/js/28238.ed32c77a.js → 200 (79ms, 3628B)
[2026-07-07T10:59:55.247Z] GET https://st1-22.vk.com/dist/projects/vk-web/chunks/css/left_menu_groups_onboarding.3da8be8c.css → 200 (4ms, 1200B)
[2026-07-07T10:59:55.247Z] GET https://st1-22.vk.com/dist/projects/vk-web/chunks/js/left_menu_groups_onboarding.a564c2cc.js → 200 (79ms, 3474B)
[2026-07-07T10:59:55.247Z] GET https://vk.com/js/langs/vk-web/left_menu_groups_onboarding.087d754fdc1aa160.js?v=1&l=0 → 200 (80ms, 1209B)
[2026-07-07T10:59:55.247Z] GET https://st1-22.vk.com/dist/projects/vk-web/chunks/css/52841.560eca50.css → 200 (4ms, 5993B)
[2026-07-07T10:59:55.247Z] GET https://st1-22.vk.com/dist/projects/vk-web/chunks/css/64313.31ca1f6a.css → 200 (4ms, 11116B)
[2026-07-07T10:59:55.247Z] GET https://st1-22.vk.com/dist/projects/vk-web/chunks/css/98489.a7e700a4.css → 200 (8ms, 14670B)
[2026-07-07T10:59:55.248Z] GET https://st1-22.vk.com/dist/projects/vk-web/chunks/css/78366.d151015d.css → 200 (7ms, 12455B)
[2026-07-07T10:59:55.248Z] GET https://st1-22.vk.com/dist/projects/vk-web/chunks/css/pageCommunityPage.c386a227.css → 200 (8ms, 10040B)
[2026-07-07T10:59:55.248Z] GET https://vk.com/js/langs/vk-web/pageCommunityPage.b2587c805fcce58e.js?v=1&l=0 → 200 (253ms, 47795B)
[2026-07-07T10:59:55.248Z] GET https://st1-22.vk.com/dist/projects/vk-web/chunks/js/46212.2c8ab836.js → 200 (80ms, 3949B)
[2026-07-07T10:59:55.248Z] GET https://st1-22.vk.com/dist/projects/vk-web/chunks/js/webCallsWidget.ad896311.js → 200 (80ms, 1900B)
[2026-07-07T10:59:55.248Z] GET https://vk.com/js/langs/vk-web/webCallsWidget.b6d645e91d13878f.js?v=1&l=0 → 200 (252ms, 1439B)
[2026-07-07T10:59:55.248Z] GET https://st1-22.vk.com/dist/projects/vk-web/chunks/js/WebDI.7add1bf7.js → 200 (81ms, 618B)
[2026-07-07T10:59:55.248Z] GET https://st1-22.vk.com/dist/projects/vk-web/chunks/js/audio_EVA_AudioPlayer.05b325be.js → 200 (251ms, 1598B)
[2026-07-07T10:59:55.248Z] POST https://login.vk.com/?act=get_anonym_token → 200 (253ms, 1250B)
[2026-07-07T10:59:55.477Z] GET https://st1-22.vk.com/dist/projects/vk-web/chunks/js/6188.f1ca2e34.js → 200 (26ms, 6764B)
[2026-07-07T10:59:55.477Z] GET https://st1-22.vk.com/dist/projects/vk-web/chunks/js/1461.67061b12.js → 200 (31ms, 56311B)
[2026-07-07T10:59:55.477Z] GET https://st1-22.vk.com/dist/projects/vk-web/chunks/js/30452.2d6cfb74.js → 200 (32ms, 27810B)
[2026-07-07T10:59:55.477Z] GET https://st1-22.vk.com/dist/projects/vk-web/chunks/js/audio_config_legacy.fad5bf20.js → 200 (35ms, 22947B)
[2026-07-07T10:59:55.477Z] GET https://vk.com/js/langs/vk-web/audio_config_legacy.f0610228a8aca55b.js?v=1&l=0 → pending (?ms, ?B)
[2026-07-07T10:59:55.477Z] GET https://st1-22.vk.com/dist/projects/vk-web/chunks/js/podcasts_web.4bec7254.js → 200 (32ms, 4754B)
[2026-07-07T10:59:55.478Z] GET https://st1-22.vk.com/dist/projects/vk-web/chunks/js/audio_config_overrides.08f15754.js → 200 (57ms, 11613B)
[2026-07-07T10:59:55.478Z] GET https://vk.com/js/langs/vk-web/audio_config_overrides.69354b06a05884f9.js?v=1&l=0 → pending (?ms, ?B)
[2026-07-07T10:59:55.478Z] GET https://st1-22.vk.com/dist/projects/vk-web/chunks/js/audio_config_audioAdvertisingBannerViewModelProvider.bf09ca05.js → 200 (34ms, 1892B)
[2026-07-07T10:59:55.479Z] GET https://st1-22.vk.com/dist/projects/vk-web/chunks/js/31470.d998f589.js → 200 (57ms, 3347B)
[2026-07-07T10:59:55.479Z] GET https://st1-22.vk.com/dist/projects/vk-web/chunks/js/audio_onMediaAttachmentPlayer.6f53cbbd.js → 200 (57ms, 4066B)
[2026-07-07T10:59:55.479Z] GET https://st1-22.vk.com/dist/projects/vk-web/chunks/js/audio_postingPlayer.94de5ab7.js → 200 (58ms, 3987B)
[2026-07-07T10:59:55.510Z] GET https://st1-22.vk.com/dist/web/chunks/vkcom-kit.808c5c56.css → 200 (24ms, 68086B)
[2026-07-07T10:59:55.510Z] GET https://st1-22.vk.com/dist/web/chunks/vkcom-kit.4f60bd16.js → pending (?ms, ?B)
[2026-07-07T10:59:55.510Z] GET https://st1-22.vk.com/dist/web/chunks/vkcom-kit-icons.f55ad8bf.js → pending (?ms, ?B)
[2026-07-07T10:59:55.511Z] GET https://st1-22.vk.com/dist/web/chunks/react.bd51212f.js → pending (?ms, ?B)
[2026-07-07T10:59:55.511Z] GET https://st1-22.vk.com/dist/web/chunks/vkui.71bc38bc.js → pending (?ms, ?B)
[2026-07-07T10:59:55.511Z] GET https://st1-22.vk.com/dist/web/chunks/architecture-mobx.8cf2a412.js → pending (?ms, ?B)
[2026-07-07T10:59:55.511Z] GET https://st1-22.vk.com/dist/web/chunks/common.5fba5edb.js → pending (?ms, ?B)
[2026-07-07T10:59:55.511Z] GET https://st1-22.vk.com/dist/web/chunks/common.evergreen.87b7e967.js → pending (?ms, ?B)
[2026-07-07T10:59:55.511Z] GET https://st1-22.vk.com/dist/web/chunks/45624723.32095841.js → pending (?ms, ?B)
[2026-07-07T10:59:55.511Z] GET https://st1-22.vk.com/dist/web/ui_common.a4a65fc0.js → pending (?ms, ?B)
[2026-07-07T10:59:55.511Z] GET https://st1-22.vk.com/css/al/ui_common.1b3a2852.css → 200 (24ms, 15919B)
[2026-07-07T10:59:55.511Z] GET https://st1-22.vk.com/css/al/notifier.79c6b6fc.css → 200 (24ms, 5758B)
[2026-07-07T10:59:55.511Z] GET https://st1-22.vk.com/dist/web/chunks/state-management.1dae6acc.js → pending (?ms, ?B)
[2026-07-07T10:59:55.511Z] GET https://st1-22.vk.com/dist/web/likes.3ba1fadb.js → pending (?ms, ?B)
[2026-07-07T10:59:55.878Z] HEAD https://tns-counter.ru/ → 200 (160ms, ?B)
[2026-07-07T10:59:55.878Z] HEAD https://top-fwz1.mail.ru/ → 200 (174ms, ?B)
[2026-07-07T10:59:55.878Z] HEAD https://ads.vk.com/ → 200 (175ms, ?B)
[2026-07-07T10:59:55.878Z] HEAD https://r0.mradx.net/ → pending (?ms, ?B)
[2026-07-07T10:59:55.887Z] GET https://st1-22.vk.com/dist/web/chunks/d21e1203.741e6093.js → 200 (158ms, 1140B)
[2026-07-07T10:59:55.888Z] GET https://st1-22.vk.com/dist/web/chunks/6aad6f1e.001d9e6a.js → 200 (159ms, 11406B)
[2026-07-07T10:59:55.888Z] GET https://st1-22.vk.com/dist/web/chunks/363aac8e.474a82c6.js → 200 (159ms, 57937B)
[2026-07-07T10:59:55.888Z] GET https://st1-22.vk.com/dist/web/chunks/6f5a0c2c.d6d0464f.js → 200 (159ms, 145208B)
[2026-07-07T10:59:55.888Z] GET https://st1-22.vk.com/dist/web/chunks/5ff477e4.1c138cd4.js → 200 (159ms, 12798B)
[2026-07-07T10:59:55.888Z] GET https://st1-22.vk.com/dist/web/chunks/252761de.94435e7a.js → 200 (163ms, 28873B)
[2026-07-07T10:59:55.888Z] GET https://st1-22.vk.com/dist/web/notifier.04ce46a7.css → 200 (122ms, 1635B)
[2026-07-07T10:59:55.888Z] GET https://st1-22.vk.com/dist/web/notifier.3b56bc75.js → 200 (163ms, 82045B)
[2026-07-07T10:59:56.007Z] POST https://vk.com/al_groups.php?act=get_onboarding_modal → 200 (48ms, 1138B)
[2026-07-07T10:59:56.007Z] GET https://sun9-66.userapi.com/impf/d7uwnqm3gpRC89Y7ZFDzNktHhzdxVd8XBFN8WQ/qVyjLaGyQD8.jpg?size=1920x768&quality=95&crop=0,1759,2175,869&sign=006df374f1d99e6f307f7be828659c2b&c_uniq_tag=Hu2K3vVZJqZyR7Orhq9jTHjkTTHcwEEV3_xv79TXYdY&type=cover_group → 200 (216ms, 878599B)
[2026-07-07T10:59:56.007Z] GET https://st1-22.vk.com/fonts/roboto400.woff → 200 (50ms, 90375B)
[2026-07-07T10:59:56.007Z] POST https://vk.com/al_groups.php?act=get_geo_ban → 200 (49ms, 1137B)
[2026-07-07T10:59:56.008Z] POST https://vk.com/al_groups.php?act=get_top_warnings → 200 (52ms, 1169B)
[2026-07-07T10:59:56.008Z] POST https://vk.com/al_groups.php?act=get_moderation_podcast_info → 200 (402ms, 1137B)
[2026-07-07T10:59:56.008Z] POST https://vk.com/al_groups.php?act=get_glavred_info → 200 (48ms, 1140B)
[2026-07-07T10:59:56.008Z] POST https://vk.com/al_groups.php?act=get_fast_groups_links → 200 (49ms, 1137B)
[2026-07-07T10:59:56.009Z] POST https://vk.com/al_groups.php?act=get_moderation_actions → 200 (49ms, 1174B)
[2026-07-07T10:59:56.009Z] GET https://vk.com/js/langs/entry/webl/ads_light.5708478af2526352.js?v=1&p=web&l=0 → 200 (52ms, 1470B)
[2026-07-07T10:59:56.010Z] GET https://sun1-56.userapi.com/s/v1/ig2/Wpi-FRqNgzhj1bsnKyfF5qaDIlSGPFiOoOJ8agAEd85luwhiwAxBEOhljihqCXo9rGY2NVhSqmYLnBy87tGGgVML.jpg?quality=95&crop=0,412,1179,1179&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080&ava=1&u=hY_Wmn-w53Bl--e5lFU61Ov0UUZdKR8PWXLVIVRdQF8&cs=200x200 → 200 (214ms, 37840B)
[2026-07-07T10:59:56.010Z] GET https://sun1-84.userapi.com/impg/egYu8l7UnDvFgdo6gb3Q6rRQ3J2nuqQ4NCw6Vw/HTEtlu1xDTM.jpg?size=270x184&quality=95&crop=0,0,1280,871&sign=25cb8408af01dee74bc12ea52596d6c5&c_uniq_tag=xul5UFWJlSSNylQPmOdoGaY-1_QqtiTQ1Lmy9dkBHA4 → 200 (213ms, 31467B)
[2026-07-07T10:59:56.010Z] GET https://sun30-1.userapi.com/impg/KNCpQ_ZOdOiruGY7296lKGRAQGXl2KuEz19pDw/LrFQlBwuNtE.jpg?size=270x184&quality=95&crop=0,43,915,622&sign=5f9672e14769aeecaeb7d1c2e35ab52c&c_uniq_tag=7vMqqy4nWhJ3orNfo0IkaJVUg8WpRdzHGLvxLeU2h7A → 200 (394ms, 28379B)
[2026-07-07T10:59:56.010Z] GET https://sun30-1.userapi.com/impg/S-YDCjTT9WCHcqGhGrkK5C-w7pjhuMtctEIkjw/ub0e6AKfcO4.jpg?size=270x184&quality=95&crop=0,0,1280,871&sign=715efd4c7e368649a85f5e0adedcb6a4&c_uniq_tag=mCZ_USSlob0WOnyoQEvIxccBU-CG-xDjNFPWFV1jSm4 → 200 (421ms, 35290B)
[2026-07-07T10:59:56.025Z] POST https://web.api.vk.com/method/internal.getWebLeftMenu?v=5.282&client_id=6287487 → 200 (387ms, 4760B)
[2026-07-07T10:59:56.026Z] POST https://web.api.vk.com/method/specials.getEasterEggs?v=5.282&client_id=6287487 → 200 (393ms, 835B)
